tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r36_c14,61,54,3519.572,157.481,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r36_c15,20,16,1757.777,92.481,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r36_c16,2,1,482.734,12.527,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c17,13,12,31.846,27.706,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c18,17,14,192.326,127.262,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c19,7,5,247.277,134.039,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c2,29,21,12633.676,1592.201,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r36_c20,30,24,1165.254,146.333,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c21,34,29,1032.709,92.734,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c22,37,34,1125.5,62.911,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c23,98,88,2291.112,143.421,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c24,86,80,1662.985,157.294,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c25,32,23,25852.437,624.127,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c26,1,1,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r36_c3,22,17,18844.406,1467.81,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r36_c4,28,24,24213.996,346.906,14,2009,"5,3","41,6",7219.0,5740.0,39787,,"69,6"
tile_r36_c5,24,18,18664.032,1429.823,14,2009,"5,3","41,6",7219.0,5740.0,39787,,"69,6"
tile_r36_c6,17,13,24316.494,464.375,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r36_c7,36,27,10570.508,194.061,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r36_c8,32,23,24254.565,181.177,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
