Year,Location,Value,District
2014,Schwabing - Freimann,"73,4",12
2014,Bogenhausen,"66,6",13
2014,Berg am Laim,"69,9",14
2014,Trudering - Riem,"66,8",15
2014,Ramersdorf - Perlach,"66,1",16
2014,Obergiesing - Fasangarten,"72,8",17
2014,Untergiesing - Harlaching,69,18
2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,6",19
2014,Hadern,"65,3",20
2014,Pasing - Obermenzing,"66,4",21
2014,Aubing - Lochhausen - Langwied,"64,6",22
2014,Allach - Untermenzing,"65,7",23
2014,Feldmoching - Hasenbergl,"66,6",24
2014,Laim,"70,1",25
2013,Stadt München,"70,1",00
2013,Altstadt - Lehel,74,01
2013,Ludwigsvorstadt - Isarvorstadt,"79,4",02
2013,Maxvorstadt,"80,3",03
2013,Schwabing - West,"72,8",04
2013,Au - Haidhausen,"74,5",05
2013,Sendling,"74,6",06
2013,Sendling - Westpark,"69,3",07
2013,Schwanthalerhöhe,"76,1",08
2013,Neuhausen - Nymphenburg,"72,1",09
2013,Moosach,"69,1",10
2013,Milbertshofen - Am Hart,"71,9",11
2013,Schwabing - Freimann,"73,2",12
2013,Bogenhausen,"66,6",13
2013,Berg am Laim,"70,1",14
2013,Trudering - Riem,"66,6",15
2013,Ramersdorf - Perlach,"66,2",16
2013,Obergiesing - Fasangarten,"72,8",17
2013,Untergiesing - Harlaching,"69,1",18
2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,7",19
2013,Hadern,65,20
2013,Pasing - Obermenzing,"66,2",21
2013,Aubing - Lochhausen - Langwied,"64,4",22
2013,Allach - Untermenzing,"65,6",23
2013,Feldmoching - Hasenbergl,"66,2",24
2013,Laim,"70,1",25
2012,Stadt München,70,00
2012,Altstadt - Lehel,74,01
2012,Ludwigsvorstadt - Isarvorstadt,"79,5",02
2012,Maxvorstadt,"80,5",03
2012,Schwabing - West,73,04
2012,Au - Haidhausen,"74,6",05
2012,Sendling,"74,7",06
2012,Sendling - Westpark,"69,2",07
2012,Schwanthalerhöhe,"76,1",08
2012,Neuhausen - Nymphenburg,"72,1",09
2012,Moosach,69,10
2012,Milbertshofen - Am Hart,"71,6",11
2012,Schwabing - Freimann,"73,2",12
2012,Bogenhausen,"66,8",13
2012,Berg am Laim,"70,1",14
2012,Trudering - Riem,"66,6",15
2012,Ramersdorf - Perlach,"66,4",16
2012,Obergiesing - Fasangarten,"73,3",17
2012,Untergiesing - Harlaching,"69,1",18
2012,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,3",19
2012,Hadern,"64,9",20
2012,Pasing - Obermenzing,"66,2",21
2012,Aubing - Lochhausen - Langwied,"63,8",22
2012,Allach - Untermenzing,"65,6",23
2012,Feldmoching - Hasenbergl,"65,8",24
2012,Laim,"70,1",25
2011,Stadt München,70,00
2011,Altstadt - Lehel,"73,8",01
2011,Ludwigsvorstadt - Isarvorstadt,"79,3",02
2011,Maxvorstadt,"80,4",03
2011,Schwabing - West,"73,2",04
2011,Au - Haidhausen,"74,8",05
2011,Sendling,"74,6",06
2011,Sendling - Westpark,"68,9",07
2011,Schwanthalerhöhe,"75,9",08
2011,Neuhausen - Nymphenburg,"72,2",09
2011,Moosach,"68,9",10
2011,Milbertshofen - Am Hart,"71,2",11
2011,Schwabing - Freimann,"73,4",12
2011,Bogenhausen,"66,7",13
2011,Berg am Laim,70,14
2011,Trudering - Riem,"66,6",15
2011,Ramersdorf - Perlach,"66,5",16
2011,Obergiesing - Fasangarten,"73,1",17
2011,Untergiesing - Harlaching,"68,9",18
2011,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,2",19
2011,Hadern,"64,8",20
2011,Pasing - Obermenzing,"66,2",21
2011,Aubing - Lochhausen - Langwied,"63,4",22
2011,Allach - Untermenzing,"65,4",23
2011,Feldmoching - Hasenbergl,"65,4",24
2011,Laim,"69,9",25
2010,Stadt München,"69,8",00
2010,Altstadt - Lehel,"73,7",01
2010,Ludwigsvorstadt - Isarvorstadt,"79,2",02
2010,Maxvorstadt,"80,4",03
2010,Schwabing - West,"73,2",04
2010,Au - Haidhausen,"74,9",05
2010,Sendling,"74,1",06
2010,Sendling - Westpark,69,07
2010,Schwanthalerhöhe,"75,9",08
2010,Neuhausen - Nymphenburg,"72,2",09
2010,Moosach,"68,6",10
2010,Milbertshofen - Am Hart,"71,1",11
2010,Schwabing - Freimann,"73,4",12
2010,Bogenhausen,"66,6",13
2010,Berg am Laim,"69,6",14
2010,Trudering - Riem,"66,5",15
2010,Ramersdorf - Perlach,"66,4",16
2010,Obergiesing - Fasangarten,"72,4",17
2010,Untergiesing - Harlaching,"68,7",18
2010,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,1",19
2010,Hadern,"64,6",20
2010,Pasing - Obermenzing,66,21
2010,Aubing - Lochhausen - Langwied,"63,3",22
2010,Allach - Untermenzing,"65,1",23
2010,Feldmoching - Hasenbergl,"64,8",24
2010,Laim,"69,6",25
2009,Stadt München,70,00
2009,Altstadt - Lehel,74,01
2009,Ludwigsvorstadt - Isarvorstadt,"79,5",02
2009,Maxvorstadt,"80,4",03
2009,Schwabing - West,"73,5",04
2009,Au - Haidhausen,75,05
2009,Sendling,"74,2",06
2009,Sendling - Westpark,"69,2",07
2009,Schwanthalerhöhe,"75,8",08
2009,Neuhausen - Nymphenburg,"72,3",09
2009,Moosach,"68,8",10
2009,Milbertshofen - Am Hart,71,11
2009,Schwabing - Freimann,"73,6",12
2009,Bogenhausen,"67,1",13
2009,Berg am Laim,"69,6",14
2009,Trudering - Riem,"66,6",15
2009,Ramersdorf - Perlach,"66,9",16
2009,Obergiesing - Fasangarten,"72,4",17
2009,Untergiesing - Harlaching,"68,6",18
2009,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,5",19
2009,Hadern,"64,9",20
2009,Pasing - Obermenzing,"66,1",21
2009,Aubing - Lochhausen - Langwied,"63,4",22
2009,Allach - Untermenzing,"65,1",23
2009,Feldmoching - Hasenbergl,"64,7",24
2009,Laim,"69,5",25
2008,Stadt München,"70,3",00
2008,Altstadt - Lehel,"74,6",01
2008,Ludwigsvorstadt - Isarvorstadt,"79,6",02
2008,Maxvorstadt,"80,6",03
2008,Schwabing - West,"73,8",04
2008,Au - Haidhausen,"75,2",05
2008,Sendling,"74,3",06
2008,Sendling - Westpark,"69,5",07
2008,Schwanthalerhöhe,"75,6",08
2008,Neuhausen - Nymphenburg,"72,4",09
2008,Moosach,"69,1",10
2008,Milbertshofen - Am Hart,"71,2",11
2008,Schwabing - Freimann,"74,1",12
