Year,Location,Population,District
2001,Schwabing - Freimann,8599.0,12
2001,Bogenhausen,9922.0,13
2001,Berg am Laim,5370.0,14
2001,Trudering - Riem,7934.0,15
2001,Ramersdorf - Perlach,17670.0,16
2001,Obergiesing - Fasangarten,5953.0,17
2001,Untergiesing - Harlaching,5826.0,18
2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10366.0,19
2001,Hadern,6676.0,20
2001,Pasing - Obermenzing,9763.0,21
2001,Aubing - Lochhausen - Langwied,6846.0,22
2001,Allach - Untermenzing,4608.0,23
2001,Feldmoching - Hasenbergl,9675.0,24
2001,Laim,5947.0,25
2000,Stadt München,177637.0,00
2000,Altstadt - Lehel,1784.0,01
2000,Ludwigsvorstadt - Isarvorstadt,4537.0,02
2000,Maxvorstadt,3865.0,03
2000,Schwabing - West,5527.0,04
2000,Au - Haidhausen,6398.0,05
2000,Sendling,4707.0,06
2000,Sendling - Westpark,6756.0,07
2000,Schwanthalerhöhe,3356.0,08
2000,Neuhausen - Nymphenburg,10765.0,09
2000,Moosach,7438.0,10
2000,Milbertshofen - Am Hart,9242.0,11
2000,Schwabing - Freimann,8474.0,12
2000,Bogenhausen,9803.0,13
2000,Berg am Laim,5323.0,14
2000,Trudering - Riem,7308.0,15
2000,Ramersdorf - Perlach,17730.0,16
2000,Obergiesing - Fasangarten,5861.0,17
2000,Untergiesing - Harlaching,5717.0,18
2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10044.0,19
2000,Hadern,6677.0,20
