Year,Location,Overall Population,District
2014,Au - Haidhausen,60756,05
2014,Sendling,40422,06
2014,Sendling - Westpark,56485,07
2014,Schwanthalerhöhe,30083,08
2014,Neuhausen - Nymphenburg,97521,09
2014,Moosach,52657,10
2014,Milbertshofen - Am Hart,74667,11
2014,Schwabing - Freimann,71802,12
2014,Bogenhausen,83900,13
2014,Berg am Laim,44022,14
2014,Trudering - Riem,68063,15
2014,Ramersdorf - Perlach,110099,16
2014,Obergiesing - Fasangarten,52743,17
2014,Untergiesing - Harlaching,52452,18
2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,91412,19
2014,Hadern,49874,20
2014,Pasing - Obermenzing,71880,21
2014,Aubing - Lochhausen - Langwied,42859,22
2014,Allach - Untermenzing,31353,23
2014,Feldmoching - Hasenbergl,60262,24
2014,Laim,54714,25
2013,Stadt München,1464962,00
2013,Altstadt - Lehel,20422,01
2013,Ludwigsvorstadt - Isarvorstadt,50620,02
2013,Maxvorstadt,51642,03
2013,Schwabing - West,65892,04
2013,Au - Haidhausen,59752,05
2013,Sendling,39953,06
2013,Sendling - Westpark,55405,07
2013,Schwanthalerhöhe,29663,08
2013,Neuhausen - Nymphenburg,95906,09
2013,Moosach,51537,10
2013,Milbertshofen - Am Hart,73617,11
2013,Schwabing - Freimann,69676,12
2013,Bogenhausen,82138,13
2013,Berg am Laim,43068,14
2013,Trudering - Riem,67009,15
2013,Ramersdorf - Perlach,108244,16
2013,Obergiesing - Fasangarten,51499,17
2013,Untergiesing - Harlaching,51937,18
2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,90790,19
2013,Hadern,48945,20
2013,Pasing - Obermenzing,70783,21
2013,Aubing - Lochhausen - Langwied,42305,22
2013,Allach - Untermenzing,30737,23
2013,Feldmoching - Hasenbergl,59391,24
2013,Laim,54030,25
2012,Stadt München,1439474,00
2012,Altstadt - Lehel,20048,01
2012,Ludwigsvorstadt - Isarvorstadt,49657,02
2012,Maxvorstadt,50877,03
2012,Schwabing - West,64770,04
2012,Au - Haidhausen,58881,05
2012,Sendling,39567,06
2012,Sendling - Westpark,54552,07
2012,Schwanthalerhöhe,29402,08
2012,Neuhausen - Nymphenburg,94257,09
2012,Moosach,50253,10
2012,Milbertshofen - Am Hart,72506,11
2012,Schwabing - Freimann,68530,12
2012,Bogenhausen,80816,13
2012,Berg am Laim,42313,14
2012,Trudering - Riem,65869,15
2012,Ramersdorf - Perlach,107164,16
2012,Obergiesing - Fasangarten,51201,17
2012,Untergiesing - Harlaching,51180,18
2012,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,87271,19
2012,Hadern,47949,20
2012,Pasing - Obermenzing,69295,21
2012,Aubing - Lochhausen - Langwied,41116,22
2012,Allach - Untermenzing,30393,23
2012,Feldmoching - Hasenbergl,58245,24
2012,Laim,53359,25
