Year,Location,Population,District
2001,Schwabing - Freimann,40,12
2001,Bogenhausen,"42,5",13
2001,Berg am Laim,"41,6",14
2001,Trudering - Riem,"39,8",15
2001,Ramersdorf - Perlach,"40,7",16
2001,Obergiesing - Fasangarten,"41,4",17
2001,Untergiesing - Harlaching,"43,6",18
2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,8",19
2001,Hadern,"42,7",20
2001,Pasing - Obermenzing,"41,8",21
2001,Aubing - Lochhausen - Langwied,"41,7",22
2001,Allach - Untermenzing,"41,9",23
2001,Feldmoching - Hasenbergl,"41,1",24
2001,Laim,"43,7",25
2000,Stadt München,"41,6",00
2000,Altstadt - Lehel,"42,6",01
2000,Ludwigsvorstadt - Isarvorstadt,"39,9",02
2000,Maxvorstadt,"40,7",03
2000,Schwabing - West,"42,8",04
2000,Au - Haidhausen,41,05
2000,Sendling,"40,4",06
2000,Sendling - Westpark,"42,7",07
2000,Schwanthalerhöhe,"39,8",08
2000,Neuhausen - Nymphenburg,"42,1",09
2000,Moosach,41,10
2000,Milbertshofen - Am Hart,"40,2",11
2000,Schwabing - Freimann,"40,2",12
2000,Bogenhausen,"42,5",13
2000,Berg am Laim,"41,7",14
2000,Trudering - Riem,"40,2",15
2000,Ramersdorf - Perlach,"40,5",16
2000,Obergiesing - Fasangarten,"41,5",17
2000,Untergiesing - Harlaching,"43,8",18
2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,8",19
2000,Hadern,"42,6",20
2000,Pasing - Obermenzing,"41,9",21
2000,Aubing - Lochhausen - Langwied,"41,5",22
2000,Allach - Untermenzing,"41,9",23
2000,Feldmoching - Hasenbergl,"41,1",24
2000,Laim,"43,7",25
